ID,Name,Location,Community,Function,Roof Type,Storeys,Building Height,Ground Surface Area
DEBY_LOD2_4959354,DEBYvAAAAABTMLJd,1000,09162000,31001_1000,1000,3,9.152,100.040
DEBY_LOD2_4959355,DEBYvAAAAABTMLKR,1000,09162000,31001_1000,3100,7,23.991,185.421
DEBY_LOD2_4959356,DEBYvAAAAABTMLIe,1000,09162000,31001_1000,3100,7,23.99,685.015
DEBY_LOD2_4959357,DEBYvAAAAABTMLCH,1000,09162000,31001_1000,3200,4,16.235,150.780
DEBY_LOD2_4959358,DEBYvAAAAABTMLEg,1000,09162000,31001_1000,3100,2,9.552,49.441
DEBY_LOD2_4959359,DEBYvAAAAABTMLAa,1000,09162000,31001_1000,3100,2,9.463,49.577
DEBY_LOD2_4959360,DEBYvAAAAABTMMOc,1000,09162000,31001_1000,3100,2,9.434,49.848
DEBY_LOD2_4959361,DEBYvAAAAABTMK8R,1000,09162000,31001_1000,3100,2,9.419,49.736
DEBY_LOD2_4959362,DEBYvAAAAABTMLBo,1000,09162000,31001_1000,2100,2,9.274,53.207
DEBY_LOD2_4959363,DEBYvAAAAABTMMNn,1000,09162000,31001_1000,3100,5,20.506,336.451
DEBY_LOD2_4959364,DEBYvAAAAABTMMQm,1000,09162000,31001_1000,1000,6,18.142,315.785
DEBY_LOD2_4959365,DEBYvAAAAABTMMJM,1000,09162000,31001_1000,1000,2,7.246,193.204
DEBY_LOD2_4959366,DEBYvAAAAABTMMOu,1000,09162000,31001_1000,3200,4,20.933,270.006
DEBY_LOD2_4959367,DEBYvAAAAABTMMJS,1000,09162000,31001_1000,1000,3,10.964,336.967
DEBY_LOD2_4959368,DEBYvAAAAABTMMMg,1000,09162000,31001_1000,3200,4,19.36,184.176
DEBY_LOD2_4959369,DEBYvAAAAABTMMK2,1000,09162000,31001_1000,3100,4,19.53,194.916
DEBY_LOD2_4959370,DEBYvAAAAABTMMDg,1000,09162000,31001_1000,3200,4,19.485,157.867
DEBY_LOD2_4959371,DEBYvAAAAABTMMGc,1000,09162000,31001_1000,3200,6,24.837,217.720
DEBY_LOD2_4959372,DEBYvAAAAABTML7W,1000,09162000,31001_1000,2100,6,23.016,317.403
DEBY_LOD2_4959373,DEBYvAAAAABTML7c,1000,09162000,31001_9998,3100,7,24.201,1070.785
DEBY_LOD2_4959378,DEBYvAAAAABTMLuj,1000,09162000,31001_9998,3100,5,25.988,580.906
DEBY_LOD2_4959379,DEBYvAAAAABTMLzS,1000,09162000,31001_9998,1000,1,3.754,38.986
DEBY_LOD2_4959380,DEBYvAAAAABTMLxB,1000,09162000,31001_9998,3100,5,26.252,669.157
DEBY_LOD2_4959381,DEBYvAAAAABTMLsc,1000,09162000,31001_9998,3100,6,25.078,570.469
DEBY_LOD2_4959384,DEBYvAAAAABTMMsI,1000,09162000,31001_1000,3100,5,27.042,277.661
DEBY_LOD2_4959386,DEBYvAAAAABTMMcy,1000,09162000,31001_9998,3100,7,25.144,608.780
DEBY_LOD2_4959387,DEBYvAAAAABTMMcV,1000,09162000,31001_1000,3100,6,17.71,539.659
DEBY_LOD2_4959388,DEBYvAAAAABTMMfV,1000,09162000,31001_1000,3100,7,26.864,621.713
DEBY_LOD2_4959389,DEBYvAAAAABTMMUj,1000,09162000,31001_1000,3100,,20.797,65.776
DEBY_LOD2_4959390,DEBYvAAAAABTMMRy,1000,09162000,31001_1000,3200,7,25.664,520.770
DEBY_LOD2_4959391,DEBYvAAAAABTMMR8,1000,09162000,31001_1000,3100,5,20.944,150.091
DEBY_LOD2_4959392,DEBYvAAAAABTMMTp,1000,09162000,31001_1000,3100,5,21.214,149.929
DEBY_LOD2_4959393,DEBYvAAAAABTMMZk,1000,09162000,31001_1000,3100,6,20.919,149.887
DEBY_LOD2_4959394,DEBYvAAAAABTMMR9,1000,09162000,31001_1000,3100,6,20.68,194.155
DEBY_LOD2_4959395,DEBYvAAAAABTMMZj,1000,09162000,31001_9998,1000,5,17.71,205.086
DEBY_LOD2_4959396,DEBYvAAAAABTMMaN,1000,09162000,31001_9998,3200,6,25.074,97.622
DEBY_LOD2_4959397,DEBYvAAAAABTMMWt,1000,09162000,31001_9998,2100,5,21.691,100.994
DEBY_LOD2_4959398,DEBYvAAAAABTMMZi,1000,09162000,31001_9998,3100,6,25.049,260.645
DEBY_LOD2_4959399,DEBYvAAAAABTMMZQ,1000,09162000,31001_9998,1000,5,17.709,98.776
DEBY_LOD2_4959400,DEBYvAAAAABTMMXc,1000,09162000,31001_9998,3200,3,18.09,280.681
DEBY_LOD2_4959401,DEBYvAAAAABTMNf1,1000,09162000,31001_9998,3200,4,23.583,553.310
DEBY_LOD2_4959402,DEBYvAAAAABTMNkV,1000,09162000,31001_9998,3200,4,27.831,707.298
DEBY_LOD2_4959403,DEBYvAAAAABTMNZA,1000,09162000,31001_9998,3200,3,20.445,399.963
DEBY_LOD2_4959404,DEBYvAAAAABTMNX9,1000,09162000,31001_1000,3100,3,14.783,266.339
DEBY_LOD2_4959405,DEBYvAAAAABTMNao,1000,09162000,31001_9998,3200,3,21.006,426.644
DEBY_LOD2_4959406,DEBYvAAAAABTMM6t,1000,09162000,31001_9998,3200,4,23.74,316.420
DEBY_LOD2_4959407,DEBYvAAAAABTMM73,1000,09162000,31001_9998,3200,3,14.103,250.189
DEBY_LOD2_4959408,DEBYvAAAAABTMNBG,1000,09162000,31001_9998,3200,4,23.39,456.339
DEBY_LOD2_4959409,DEBYvAAAAABSlAKq,1000,09162000,31001_9998,3100,4,20.98,701.419
DEBY_LOD2_4959410,DEBYvAAAAABTMMEj,1000,09162000,31001_9998,3100,5,18.8,805.623
DEBY_LOD2_4959415,DEBYvAAAAABTML1N,1000,09162000,31001_9998,1000,1,3.954,57.930
DEBY_LOD2_4959416,DEBYvAAAAABTML2y,1000,09162000,31001_9998,3200,4,21.903,641.607
DEBY_LOD2_4959417,DEBYvAAAAABTMLwb,1000,09162000,31001_9998,1000,4,22.155,124.836
DEBY_LOD2_4959418,DEBYvAAAAABTMLv9,1000,09162000,31001_9998,1000,4,22.028,167.871
DEBY_LOD2_4959419,DEBYvAAAAABTML4K,1000,09162000,31001_9998,1000,4,22.145,298.873
DEBY_LOD2_4959420,DEBYvAAAAABSlDQ2,1000,09162000,31001_9998,3100,4,20.22,1127.630
DEBY_LOD2_4959421,DEBYvAAAAABSlDQo,1000,09162000,31001_9998,1000,1,5.135,313.518
DEBY_LOD2_4959422,DEBYvAAAAABSlDQv,1000,09162000,31001_9998,3200,6,24.13,804.739
DEBY_LOD2_4959423,DEBYvAAAAABSlBvY,1000,09162000,31001_9998,1000,,7.942,306.573
DEBY_LOD2_4959424,DEBYvAAAAABSlBv0,1000,09162000,31001_9998,1000,2,7.09,83.340
DEBY_LOD2_4959425,DEBYvAAAAABSlBw2,1000,09162000,31001_9998,1000,2,14.607,214.309
DEBY_LOD2_4959426,DEBYvAAAAABSlBxf,1000,09162000,31001_9998,1000,2,14.999,89.659
DEBY_LOD2_4959427,DEBYvAAAAABSlBzQ,1000,09162000,31001_9998,9999,1,10.309,85.007
DEBY_LOD2_4959428,DEBYvAAAAABSlByC,1000,09162000,31001_9998,3200,4,23.22,388.833
DEBY_LOD2_4959429,DEBYvAAAAABSlBq6,1000,09162000,31001_9998,3100,2,10.241,184.950
DEBY_LOD2_4959430,DEBYvAAAAABSlBrU,1000,09162000,31001_9998,3100,2,11.402,188.782
DEBY_LOD2_4959431,DEBYvAAAAABSlBtM,1000,09162000,31001_9998,3200,3,16.804,312.420
DEBY_LOD2_4959432,DEBYvAAAAABSlCEP,1000,09162000,31001_9998,3200,5,23.957,331.371
